Upper GB,Lower GB,Terrace Springs,Norris GB,North of Norris GB,Mammoth HS,West Thumb GB,Gas Vents (Solfatara Springs),Mud Volcano,Eastern Yellowstone
1.0,1.0,1.0,4.102304235819904e-09,0.00028475895657575375,3.752343435352198e-07,1.0,2.561191969479419e-18,2.933702026666049e-10,3.987773704053501e-12
1.0,1.0,1.0,0.13809879398861225,1.0,0.5035338971941103,1.0,3.934485098466796e-06,0.0020035251528945533,0.008541917186561986
1.0,1.0,1.0,0.024448948114064548,0.2963133762725519,0.08853861556425228,1.0,1.8612992758348152e-06,0.00042199913060106056,0.0017820367907679738
4.102304235819904e-09,0.13809879398861225,0.024448948114064548,1.0,1.0,1.0,0.0024900615661199504,0.04189217395819588,1.0,1.0
0.00028475895657575375,1.0,0.2963133762725519,1.0,1.0,1.0,0.13926755545044575,0.22023453357786948,1.0,1.0
3.752343435352198e-07,0.5035338971941103,0.08853861556425228,1.0,1.0,1.0,0.01742180454671296,0.01774501297119611,1.0,1.0
1.0,1.0,1.0,0.0024900615661199504,0.13926755545044575,0.01742180454671296,1.0,4.453390550356668e-09,2.7279035460078658e-05,5.78199563319314e-05
2.561191969479419e-18,3.934485098466796e-06,1.8612992758348152e-06,0.04189217395819588,0.22023453357786948,0.01774501297119611,4.453390550356668e-09,1.0,1.0,0.7330849246309793
2.933702026666049e-10,0.0020035251528945533,0.00042199913060106056,1.0,1.0,1.0,2.7279035460078658e-05,1.0,1.0,1.0
3.987773704053501e-12,0.008541917186561986,0.0017820367907679738,1.0,1.0,1.0,5.78199563319314e-05,0.7330849246309793,1.0,1.0
