Location,fCO2,fCO2,fCO2,log10fCO2,log10fCO2,log10fCO2
,mean,std,count_nonzero,mean,std,count_nonzero
MDVC_25Jun2018_1.5,79.584,63.574319343584015,5,0.400463319,0.37422528091925045,5
MDVC_25Jun2018_1.6,174.288,204.67338742494104,5,0.564251234,0.6637586615469672,5
MMTH_03Jul2018_3.1,8.824615384615385,10.991263663613793,11,-0.5756800905999999,0.579887210084963,13
MMTH_13un2019_2.2,148.704,45.897325412272124,5,0.7736798144,0.14576897774595293,5
MMTH_13un2019_2.5,34.70399999999999,6.909332818731487,5,0.15379995279999997,0.08161310225849143,5
MMTH_13un2019_2.6,0.672,1.2166840181411112,5,-1.31690156025,0.14230083234954818,5
MMTH_13un2019_3.3,6.575999999999999,3.1365713765192718,5,-0.604187399,0.21888210649467527,5
MMTH_13un2019_3.4,6.720000000000001,3.2333264604737955,5,-0.6014151048,0.24183890119021764,5
NBGN_11Jun2019_1.1,0.64,0.13856406460551018,3,-1.5815758313333335,0.10166633578559013,3
NBGN_11Jun2019_1.2,1829.28,4089.0528049415066,4,-0.4656931307500001,2.0319324936570546,5
NBGN_11Jun2019_1.3,5.919999999999999,2.2170250336881625,3,-0.633209818,0.19109902408959076,3
NBGN_11Jun2019_1.4,5.568,3.9120736189391936,5,-0.7346162204000001,0.3399645735848488,5
NEER_26Jun2018_1.1,29.37,11.347231254489227,8,0.058113523375,0.1737380181845733,8
NEER_26Jun2018_1.2,13.32,12.22082531699768,8,-0.362219127125,0.29678146189050786,8
NEER_26Jun2018_1.3,6.449999999999999,3.597570608857355,8,-0.6217097595,0.21822865034309566,8
NEER_26Jun2018_1.4,21.0,10.124798410691586,8,-0.097841279125,0.19689451475921563,8
NEER_26Jun2018_2.1,32.22,18.9423063914765,8,0.017278453625000006,0.3816079097656846,8
NEER_26Jun2018_2.2,5.07,2.4185710066660673,8,-0.801818324625,0.4928552023761885,8
NEER_26Jun2018_2.3,14.850000000000001,3.504886384952952,8,-0.22024885775,0.11112809605135018,8
NEER_26Jun2018_2.4,37.41,15.154755972018439,8,0.1683549685,0.14703727779504205,8
NGBN_STMB_12Jun2019_1.1,52.919999999999995,12.790578429129937,30,0.32963960043333335,0.11443283152985724,30
VCAC_27May2019_2.1,14.280000000000001,6.585802912325878,5,-0.2713949575,0.24803662552820874,5
VCAC_27May2019_2.3,0.24,0.3394112549695428,3,-1.7614393725,0.33737567485873593,5
VCAC_27May2019_2.4,-0.08,0.13856406460551018,3,,,5
