Upper GB,Lower GB,Terrace Springs,Norris GB,North of Norris GB,Mammoth HS,West Thumb GB,Gas Vents (Solfatara Springs),Mud Volcano,Eastern Yellowstone
1.0,1.0,1.0,3.7296416642825446e-07,1.0,1.0,1.0,9.480122529970048e-08,1.0,0.4268959407857063
1.0,1.0,1.0,1.0717801947551396e-05,1.0,1.0,1.0,4.675963801197324e-06,1.0,0.21604399874345848
1.0,1.0,1.0,0.022956209107339358,1.0,1.0,1.0,0.014085126921560387,1.0,1.0
3.7296416642825446e-07,1.0717801947551396e-05,0.022956209107339358,1.0,0.029339580912957564,9.83477335368638e-08,0.12944226255446192,1.0,0.21478030828392133,0.03537062677491092
1.0,1.0,1.0,0.029339580912957564,1.0,1.0,1.0,0.017016732836204564,1.0,1.0
1.0,1.0,1.0,9.83477335368638e-08,1.0,1.0,0.6629643244850099,2.9123457264411226e-08,0.6683828370031932,0.05893535349898131
1.0,1.0,1.0,0.12944226255446192,1.0,0.6629643244850099,1.0,0.07463346571108387,1.0,1.0
9.480122529970048e-08,4.675963801197324e-06,0.014085126921560387,1.0,0.017016732836204564,2.9123457264411226e-08,0.07463346571108387,1.0,0.12952244976022206,0.01606235849809846
1.0,1.0,1.0,0.21478030828392133,1.0,0.6683828370031932,1.0,0.12952244976022206,1.0,1.0
0.4268959407857063,0.21604399874345848,1.0,0.03537062677491092,1.0,0.05893535349898131,1.0,0.01606235849809846,1.0,1.0
